period,ward,category,budgeted_amount,actual_spend,notes,growth_percent
2024-03,Ward 4 – Warje,Parks & Greening,1.6,1.5,,-6.25
2024-03,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,13.1,,-8.39
2024-03,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.5,,-10.38
2024-03,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,4.1,,10.81
2024-03,Ward 5 – Hadapsar,Waste Management,6.1,6.6,,8.2
2024-03,Ward 5 – Hadapsar,Parks & Greening,2.5,2.3,,-8.0
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.4,,3.08
2024-04,Ward 1 – Kasba,Drainage & Flooding,8.6,8.2,,-4.65
2024-04,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.6,,9.09
2024-04,Ward 1 – Kasba,Waste Management,5.9,5.7,,-3.39
2024-04,Ward 1 – Kasba,Parks & Greening,2.3,2.1,,-8.7
2024-04,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.3,,-9.49
2024-04,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.0,,0.0
2024-04,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.0,,-9.09
2024-04,Ward 2 – Shivajinagar,Waste Management,6.4,6.4,,0.0
2024-04,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.1,,10.53
2024-04,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.2,,-5.08
2024-04,Ward 3 – Kothrud,Drainage & Flooding,8.2,7.4,,-9.76
2024-04,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.5,,12.5
2024-04,Ward 3 – Kothrud,Waste Management,5.1,5.1,,0.0
2024-04,Ward 3 – Kothrud,Parks & Greening,3.3,2.8,,-15.15
2024-04,Ward 4 – Warje,Roads & Pothole Repair,10.3,8.8,,-14.56
2024-04,Ward 4 – Warje,Drainage & Flooding,6.7,5.8,,-13.43
2024-04,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,,3.33
2024-04,Ward 4 – Warje,Waste Management,4.4,4.7,,6.82
2024-04,Ward 4 – Warje,Parks & Greening,1.6,1.5,,-6.25
2024-04,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.2,,-14.69
2024-04,Ward 5 – Hadapsar,Drainage & Flooding,10.6,10.0,,-5.66
2024-04,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,4.1,,10.81
2024-04,Ward 5 – Hadapsar,Waste Management,6.1,6.0,,-1.64
2024-04,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,,12.0
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.1,,8.46
2024-05,Ward 1 – Kasba,Drainage & Flooding,8.6,7.2,,-16.28
2024-05,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.4,,3.03
2024-05,Ward 1 – Kasba,Waste Management,5.9,6.1,,3.39
2024-05,Ward 1 – Kasba,Parks & Greening,2.3,2.3,,0.0
2024-05,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.4,,-8.86
2024-05,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.2,,2.0
2024-05,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,,-13.64
2024-05,Ward 2 – Shivajinagar,Waste Management,6.4,6.2,,-3.13
2024-05,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.8,,-5.26
2024-05,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,13.1,,11.02
2024-05,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.9,,8.54
2024-05,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.6,,-10.0
2024-05,Ward 3 – Kothrud,Waste Management,5.1,5.0,,-1.96
2024-05,Ward 3 – Kothrud,Parks & Greening,3.3,2.9,,-12.12
2024-05,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.3,,9.71
2024-05,Ward 4 – Warje,Drainage & Flooding,6.7,7.3,,8.96
2024-05,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,,-6.67
2024-05,Ward 4 – Warje,Waste Management,4.4,4.5,,2.27
2024-05,Ward 4 – Warje,Parks & Greening,1.6,1.6,,0.0
2024-05,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.6,,-11.89
2024-05,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.2,,5.66
2024-05,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,,Equipment procurement delay,
2024-05,Ward 5 – Hadapsar,Waste Management,6.1,6.0,,-1.64
2024-05,Ward 5 – Hadapsar,Parks & Greening,2.5,2.7,,8.0
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.8,,13.85
2024-06,Ward 1 – Kasba,Drainage & Flooding,8.6,8.3,,-3.49
2024-06,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.5,,6.06
2024-06,Ward 1 – Kasba,Waste Management,5.9,5.7,,-3.39
2024-06,Ward 1 – Kasba,Parks & Greening,2.3,2.9,,26.09
2024-06,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,19.7,,24.68
2024-06,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.3,,23.0
2024-06,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.7,,6.82
2024-06,Ward 2 – Shivajinagar,Waste Management,6.4,6.3,,-1.56
2024-06,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.4,,26.32
2024-06,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,15.0,,27.12
2024-06,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.1,,-1.22
2024-06,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.5,,12.5
2024-06,Ward 3 – Kothrud,Waste Management,5.1,5.1,,0.0
2024-06,Ward 3 – Kothrud,Parks & Greening,3.3,4.0,,21.21
2024-06,Ward 4 – Warje,Roads & Pothole Repair,10.3,12.5,,21.36
2024-06,Ward 4 – Warje,Drainage & Flooding,6.7,6.8,,1.49
2024-06,Ward 4 – Warje,Streetlight Maintenance,3.0,3.4,,13.33
2024-06,Ward 4 – Warje,Waste Management,4.4,5.0,,13.64
2024-06,Ward 4 – Warje,Parks & Greening,1.6,1.7,,6.25
2024-06,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,17.9,,25.17
2024-06,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.7,,10.38
2024-06,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.8,,2.7
2024-06,Ward 5 – Hadapsar,Waste Management,6.1,6.9,,13.11
2024-06,Ward 5 – Hadapsar,Parks & Greening,2.5,3.0,,20.0
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,13.0,19.7,,51.54
2024-07,Ward 1 – Kasba,Drainage & Flooding,8.6,13.0,,51.16
2024-07,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.5,,36.36
2024-07,Ward 1 – Kasba,Waste Management,5.9,7.6,,28.81
2024-07,Ward 1 – Kasba,Parks & Greening,2.3,3.1,,34.78
2024-07,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,23.4,,48.1
2024-07,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.6,,26.0
2024-07,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,6.0,,36.36
2024-07,Ward 2 – Shivajinagar,Waste Management,6.4,7.8,,21.87
2024-07,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.3,,21.05
2024-07,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,19.0,,61.02
2024-07,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.0,,21.95
2024-07,Ward 3 – Kothrud,Streetlight Maintenance,4.0,5.9,,47.5
2024-07,Ward 3 – Kothrud,Waste Management,5.1,7.5,,47.06
2024-07,Ward 3 – Kothrud,Parks & Greening,3.3,3.8,,15.15
2024-07,Ward 4 – Warje,Roads & Pothole Repair,10.3,,Audit freeze — figures under review,
2024-07,Ward 4 – Warje,Drainage & Flooding,6.7,8.2,,22.39
2024-07,Ward 4 – Warje,Streetlight Maintenance,3.0,4.2,,40.0
2024-07,Ward 4 – Warje,Waste Management,4.4,5.4,,22.73
2024-07,Ward 4 – Warje,Parks & Greening,1.6,1.9,,18.75
2024-07,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,22.8,,59.44
2024-07,Ward 5 – Hadapsar,Drainage & Flooding,10.6,13.9,,31.13
2024-07,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.3,,43.24
2024-07,Ward 5 – Hadapsar,Waste Management,6.1,8.8,,44.26
2024-07,Ward 5 – Hadapsar,Parks & Greening,2.5,3.0,,20.0
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.2,,55.38
2024-08,Ward 1 – Kasba,Drainage & Flooding,8.6,11.1,,29.07
2024-08,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.3,,30.3
2024-08,Ward 1 – Kasba,Waste Management,5.9,8.3,,40.68
2024-08,Ward 1 – Kasba,Parks & Greening,2.3,3.2,,39.13
2024-08,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,22.8,,44.3
2024-08,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.8,,28.0
2024-08,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,5.6,,27.27
2024-08,Ward 2 – Shivajinagar,Waste Management,6.4,9.4,,46.88
2024-08,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.3,,21.05
2024-08,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,18.3,,55.08
2024-08,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.6,,29.27
2024-08,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.9,,22.5
2024-08,Ward 3 – Kothrud,Waste Management,5.1,6.3,,23.53
2024-08,Ward 3 – Kothrud,Parks & Greening,3.3,,Project suspended — pending approval,
2024-08,Ward 4 – Warje,Roads & Pothole Repair,10.3,16.0,,55.34
2024-08,Ward 4 – Warje,Drainage & Flooding,6.7,9.8,,46.27
2024-08,Ward 4 – Warje,Streetlight Maintenance,3.0,4.1,,36.67
2024-08,Ward 4 – Warje,Waste Management,4.4,5.1,,15.91
2024-08,Ward 4 – Warje,Parks & Greening,1.6,2.4,,50.0
2024-08,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,24.6,,72.03
2024-08,Ward 5 – Hadapsar,Drainage & Flooding,10.6,15.8,,49.06
2024-08,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.4,,45.95
2024-08,Ward 5 – Hadapsar,Waste Management,6.1,7.3,,19.67
2024-08,Ward 5 – Hadapsar,Parks & Greening,2.5,3.3,,32.0
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,13.0,20.1,,54.62
2024-09,Ward 1 – Kasba,Drainage & Flooding,8.6,9.9,,15.12
2024-09,Ward 1 – Kasba,Streetlight Maintenance,3.3,4.2,,27.27
2024-09,Ward 1 – Kasba,Waste Management,5.9,8.9,,50.85
2024-09,Ward 1 – Kasba,Parks & Greening,2.3,2.8,,21.74
2024-09,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,24.6,,55.7
2024-09,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,12.9,,29.0
2024-09,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,6.6,,50.0
2024-09,Ward 2 – Shivajinagar,Waste Management,6.4,9.7,,51.56
2024-09,Ward 2 – Shivajinagar,Parks & Greening,1.9,2.5,,31.58
2024-09,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,17.2,,45.76
2024-09,Ward 3 – Kothrud,Drainage & Flooding,8.2,10.2,,24.39
2024-09,Ward 3 – Kothrud,Streetlight Maintenance,4.0,6.0,,50.0
2024-09,Ward 3 – Kothrud,Waste Management,5.1,7.0,,37.25
2024-09,Ward 3 – Kothrud,Parks & Greening,3.3,4.4,,33.33
2024-09,Ward 4 – Warje,Roads & Pothole Repair,10.3,14.7,,42.72
2024-09,Ward 4 – Warje,Drainage & Flooding,6.7,9.1,,35.82
2024-09,Ward 4 – Warje,Streetlight Maintenance,3.0,4.0,,33.33
2024-09,Ward 4 – Warje,Waste Management,4.4,6.4,,45.45
2024-09,Ward 4 – Warje,Parks & Greening,1.6,1.9,,18.75
2024-09,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,20.6,,44.06
2024-09,Ward 5 – Hadapsar,Drainage & Flooding,10.6,12.8,,20.75
2024-09,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,5.0,,35.14
2024-09,Ward 5 – Hadapsar,Waste Management,6.1,8.5,,39.34
2024-09,Ward 5 – Hadapsar,Parks & Greening,2.5,3.1,,24.0
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.1,,0.77
2024-10,Ward 1 – Kasba,Drainage & Flooding,8.6,10.8,,25.58
2024-10,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.4,,3.03
2024-10,Ward 1 – Kasba,Waste Management,5.9,6.8,,15.25
2024-10,Ward 1 – Kasba,Parks & Greening,2.3,2.7,,17.39
2024-10,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,17.3,,9.49
2024-10,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,11.5,,15.0
2024-10,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,5.0,,13.64
2024-10,Ward 2 – Shivajinagar,Waste Management,6.4,8.1,,26.56
2024-10,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.9,,0.0
2024-10,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,14.1,,19.49
2024-10,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.5,,3.66
2024-10,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.4,,10.0
2024-10,Ward 3 – Kothrud,Waste Management,5.1,6.1,,19.61
2024-10,Ward 3 – Kothrud,Parks & Greening,3.3,3.5,,6.06
2024-10,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.0,,6.8
2024-10,Ward 4 – Warje,Drainage & Flooding,6.7,8.1,,20.9
2024-10,Ward 4 – Warje,Streetlight Maintenance,3.0,3.0,,0.0
2024-10,Ward 4 – Warje,Waste Management,4.4,4.9,,11.36
2024-10,Ward 4 – Warje,Parks & Greening,1.6,2.0,,25.0
2024-10,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,18.4,,28.67
2024-10,Ward 5 – Hadapsar,Drainage & Flooding,10.6,10.5,,-0.94
2024-10,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.8,,2.7
2024-10,Ward 5 – Hadapsar,Waste Management,6.1,6.4,,4.92
2024-10,Ward 5 – Hadapsar,Parks & Greening,2.5,3.2,,28.0
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,13.0,14.2,,9.23
2024-11,Ward 1 – Kasba,Drainage & Flooding,8.6,9.4,,9.3
2024-11,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.1,,-6.06
2024-11,Ward 1 – Kasba,Waste Management,5.9,,Contractor change — billing delayed,
2024-11,Ward 1 – Kasba,Parks & Greening,2.3,2.0,,-13.04
2024-11,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,17.0,,7.59
2024-11,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,,4.0
2024-11,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.5,,2.27
2024-11,Ward 2 – Shivajinagar,Waste Management,6.4,7.2,,12.5
2024-11,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.9,,0.0
2024-11,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,9.9,,-16.1
2024-11,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.8,,7.32
2024-11,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.7,,-7.5
2024-11,Ward 3 – Kothrud,Waste Management,5.1,5.3,,3.92
2024-11,Ward 3 – Kothrud,Parks & Greening,3.3,3.6,,9.09
2024-11,Ward 4 – Warje,Roads & Pothole Repair,10.3,9.0,,-12.62
2024-11,Ward 4 – Warje,Drainage & Flooding,6.7,5.9,,-11.94
2024-11,Ward 4 – Warje,Streetlight Maintenance,3.0,2.6,,-13.33
2024-11,Ward 4 – Warje,Waste Management,4.4,4.4,,0.0
2024-11,Ward 4 – Warje,Parks & Greening,1.6,1.4,,-12.5
2024-11,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,14.4,,0.7
2024-11,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.1,,4.72
2024-11,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.3,,-10.81
2024-11,Ward 5 – Hadapsar,Waste Management,6.1,6.2,,1.64
2024-11,Ward 5 – Hadapsar,Parks & Greening,2.5,2.3,,-8.0
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.7,,-2.31
2024-12,Ward 1 – Kasba,Drainage & Flooding,8.6,9.4,,9.3
2024-12,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.5,,6.06
2024-12,Ward 1 – Kasba,Waste Management,5.9,5.1,,-13.56
2024-12,Ward 1 – Kasba,Parks & Greening,2.3,2.2,,-4.35
2024-12,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,14.4,,-8.86
2024-12,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,8.4,,-16.0
2024-12,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.7,,6.82
2024-12,Ward 2 – Shivajinagar,Waste Management,6.4,6.5,,1.56
2024-12,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.7,,-10.53
2024-12,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,12.3,,4.24
2024-12,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.2,,0.0
2024-12,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.8,,-5.0
2024-12,Ward 3 – Kothrud,Waste Management,5.1,4.3,,-15.69
2024-12,Ward 3 – Kothrud,Parks & Greening,3.3,2.8,,-15.15
2024-12,Ward 4 – Warje,Roads & Pothole Repair,10.3,11.2,,8.74
2024-12,Ward 4 – Warje,Drainage & Flooding,6.7,7.4,,10.45
2024-12,Ward 4 – Warje,Streetlight Maintenance,3.0,3.0,,0.0
2024-12,Ward 4 – Warje,Waste Management,4.4,4.7,,6.82
2024-12,Ward 4 – Warje,Parks & Greening,1.6,1.6,,0.0
2024-12,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.6,,-11.89
2024-12,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.3,,-12.26
2024-12,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,,-8.11
2024-12,Ward 5 – Hadapsar,Waste Management,6.1,6.7,,9.84
2024-12,Ward 5 – Hadapsar,Parks & Greening,2.5,2.7,,8.0
